bor_subb,NAME,CODE,SUBBOROUGH,FORHIS06,FORHIS07,FORHIS08,FORHIS09,FORWH06,FORWH07,FORWH08,FORWH09,HHSIZ1990,HHSIZ00,HHSIZ02,HHSIZ05,HHSIZ08,KIDS2000,KIDS2005,KIDS2006,KIDS2007,KIDS2008,KIDS2009,RENT2002,RENT2005,RENT2008,RENTPCT02,RENTPCT05,RENTPCT08,PUBAST90,PUBAST00,YRHOM02,YRHOM05,YRHOM08
501,North Shore,501,North Shore,37.0657,34.0317,27.3767,29.3091,13.2540,11.8768,11.1788,11.1459,2.7146,2.7338,2.7412,2.8010,2.6983,39.2995,43.3788,38.4022,41.5213,39.8390,40.3169,800,900,1000,21.1119,24.8073,28.5344,47.329128,6.005791,10.805067930,12.127853300,11.547433340
502,Mid-Island,502,Mid-Island,27.9822,18.1193,24.0452,31.1566,20.0616,19.8575,22.4870,17.0371,2.8233,2.7176,2.5405,2.6228,2.5749,36.2234,35.7630,36.9081,37.6798,37.2447,37.8176,650,800,950,32.3615,27.2584,27.9567,35.182323,2.287034,15.241246390,15.183110730,14.682124160
503,South Shore,503,South Shore,10.7019,12.1404,9.6890,14.6638,10.3060,12.7699,9.3561,10.2830,3.0547,2.8497,2.6525,2.6121,2.6483,39.7362,42.5232,40.3577,40.3797,40.4820,35.3880,750,775,800,23.0547,20.4146,18.1590,23.894043,1.350208,12.704250430,12.972279580,13.561487200
401,Astoria,401,Astoria,52.0961,53.9585,54.6968,47.8050,38.3658,35.6551,32.1289,34.6578,2.4279,2.4995,2.3032,2.3227,2.2746,28.4592,27.2223,25.2556,24.8911,22.0364,17.9996,1000,1100,1400,25.6022,26.7685,28.0467,80.533928,5.204510,12.839167130,13.377513300,12.544640310
402,Sunnyside / Woodside,402,Sunnyside/Woodside,62.7242,69.3969,67.0897,58.2963,37.0512,31.9057,32.3264,33.8794,2.4646,2.6287,2.5300,2.4993,2.4766,29.8808,28.6841,28.1440,26.3675,29.9032,26.2156,1000,1000,1400,18.8079,22.6752,21.3009,75.516866,2.974139,15.387655900,12.518789410,12.666908860
403,Jackson Heights,403,Jackson Heights,68.4834,68.5405,66.5080,69.1580,34.3999,38.2428,38.1470,26.5347,2.8081,3.1650,2.9108,2.8599,2.8604,41.6335,40.2431,39.3135,37.4414,39.4144,39.0377,910,1000,1100,34.0156,34.8050,27.1032,66.642281,5.332569,12.649228850,12.580354790,11.965980350
404,Elmhurst / Corona,404,Elmhurst/Corona,69.5219,66.8795,69.3414,64.3005,40.3935,51.6376,45.9578,48.3542,2.9690,3.1784,2.8740,3.1064,3.2223,41.8224,35.8002,40.2321,44.0976,37.2912,43.3207,896,1001,1300,26.7381,34.3842,28.8255,77.530801,6.029230,11.554984000,9.828084450,10.738053090
405,Middle Village / Ridgewood,405,Middle Village/Ridgewood,39.4185,35.9546,36.2750,35.0181,37.8097,34.0156,33.0695,33.0816,2.5174,2.6606,2.7540,2.7750,2.7007,35.0385,36.6091,37.7748,37.6190,30.9096,35.4524,800,900,1100,41.2035,40.6256,36.2956,59.017019,3.951290,13.498407660,12.616177800,11.191645090
406,Forest Hills / Rego Park,406,Rego Park/Forest Hills,58.5388,52.6183,42.3878,47.9795,43.7395,47.5873,45.1205,39.8293,2.0631,2.1532,2.1504,2.1932,2.1512,21.9464,21.4119,24.2723,23.7545,24.7718,21.9552,1000,1035,1400,11.9766,10.4943,11.5520,64.162134,3.111417,13.401562260,13.375476680,12.742295780
407,Flushing / Whitestone,407,Flushing/Whitestone,59.4432,53.4747,53.2531,57.9868,26.5802,25.6864,21.3858,23.5204,2.6302,2.6818,2.5351,2.5668,2.5857,31.5298,27.7413,28.5853,28.1564,31.1019,28.3184,1000,1100,1200,23.9394,23.3487,22.6715,53.629649,2.795721,14.011259860,12.806067000,12.848000720
408,Hillcrest / Fresh Meadows,408,Hillcrest/Fresh Meadows,40.5955,49.3505,41.7017,47.6285,31.7976,32.6535,0.0000,28.8711,2.5431,2.6559,2.5685,2.5898,2.5609,34.3515,28.6911,31.9766,34.5029,29.9986,31.9291,1000,1100,1100,11.1747,10.3662,14.5537,56.676558,2.995194,13.947060390,13.318076970,12.028813530
409,Kew Gardens / Woodhaven,409,Ozone Park/Woodhaven,50.8436,52.1387,44.7577,40.9398,27.3269,27.0977,30.0555,26.0934,2.7161,3.0562,2.9960,2.9254,2.7947,43.1082,40.6816,41.3178,40.1274,40.7990,43.1693,800,1000,1150,37.9381,38.9302,39.4110,56.874420,5.750022,9.726724617,9.982275337,9.792964157
410,Howard Beach / S. Ozone Park,410,South Ozone Park/Howard Beach,43.8722,39.5915,41.6120,39.6560,12.7682,14.6646,17.6121,13.0268,3.0406,3.0847,3.0761,3.0158,2.9258,41.6585,44.9159,41.2649,45.9224,37.8421,37.7738,850,1000,1200,32.3944,30.9688,33.1075,34.771132,3.435906,12.817752970,13.556526160,13.375080350
411,Bayside / Little Neck,411,Bayside/Little Neck,42.1657,39.3678,48.8771,50.0854,18.7594,17.6638,17.4577,18.0362,2.5877,2.5891,2.6708,2.5888,2.4150,30.7215,31.0896,26.1257,27.4438,32.9828,31.6261,1100,1200,1450,22.7169,22.5916,18.8791,32.021745,1.029474,13.439540910,14.362331000,14.165833840
412,Jamaica,412,Jamaica,54.6087,48.2706,49.7955,49.0907,37.8281,25.9303,32.9147,28.1544,3.1561,3.0871,2.8927,2.8353,2.9421,44.9491,44.1410,42.2986,39.5547,41.9571,41.6199,700,900,1000,22.1670,21.2375,22.5151,49.618408,6.878053,14.394482790,16.219414880,14.086895020
413,Bellerose / Rosedale,413,Queens Village,39.6559,41.0731,33.8810,32.0523,16.8254,19.4044,14.4676,10.1023,3.1232,3.0787,2.8887,2.6687,2.7310,42.5305,35.5342,39.6216,39.9430,40.1735,38.5580,800,900,1050,20.3692,20.6635,17.6043,26.399610,3.044977,14.885206340,14.733947150,14.735056720
414,Rockaways,414,Rockaways,42.0651,45.9028,43.6002,43.5523,14.2713,13.8314,14.5400,15.2420,2.7320,2.6892,2.5412,2.8278,2.7322,40.1280,39.1964,41.9318,36.9665,34.6825,34.0086,850,800,1100,18.4503,12.2845,0.0000,67.843317,9.614139,12.564092190,13.504252200,12.502285990
301,Greenwich Village / Financial District,301,Greenwich Village/Financial District,39.0083,28.2611,24.8745,27.5424,13.9839,15.6706,15.5611,15.1602,1.7345,1.7006,1.6472,1.6065,1.6472,11.3798,11.8185,13.8989,14.2120,18.1654,13.9790,2300,2300,2900,22.2101,30.0508,33.4316,76.386461,1.092345,10.746274970,10.542242690,9.564334490
302,Lower East Side / Chinatown,302,Lower East Side/Chinatown,20.0867,19.0564,15.1473,22.1850,16.8275,19.6615,18.0860,19.6856,2.3659,2.2645,2.1613,2.0830,2.1195,22.1389,18.1132,18.2900,17.2724,17.1303,19.2274,2200,2010,2300,5.3473,13.6828,19.1654,92.005655,6.955674,12.782237540,13.043148350,12.598171070
303,Chelsea / Clinton / Midtown,303,Chelsea/Clinton/Midtown,35.5538,42.3814,29.7712,35.9003,14.2474,14.4530,14.1301,16.7448,1.6225,1.6045,1.5732,1.5436,1.5443,8.3924,8.7078,8.6826,8.0670,8.0036,8.6623,2475,2275,2500,20.8566,23.2243,29.6776,82.603339,2.457560,11.331241760,10.270455980,10.870479450
304,Stuyvesant Town / Turtle Bay,304,Stuyvesant Town/Turtle Bay,29.0626,29.0115,39.8975,37.1942,16.3327,18.2809,13.7130,12.9896,1.5602,1.5743,1.5318,1.5997,1.7067,8.3815,10.1274,10.1239,11.3777,10.1587,11.6035,2300,2300,2800,18.5288,24.4837,33.7818,75.397044,0.942509,11.269859630,10.711697930,11.207740750
305,Upper West Side,305,Upper West Side,38.9258,41.5140,31.2586,27.8103,13.2216,13.8635,18.9052,13.7275,1.7763,1.7620,1.7218,1.7488,1.7321,14.6295,17.2319,21.1804,19.3236,17.9298,20.7575,2500,2500,2850,16.6715,15.6358,21.3111,75.733888,2.344866,12.343672490,12.494481350,13.568942790
306,Upper East Side,306,Upper East Side,41.7464,34.7134,39.8360,31.8285,14.2515,14.3757,16.0198,12.8068,1.7026,1.7092,1.6784,1.7562,1.6979,13.3162,15.8046,17.1703,16.8897,17.7826,18.8019,2400,2250,2550,18.2814,24.3305,27.8024,70.428747,0.898064,10.586669580,10.860418640,11.118463810
307,Morningside Heights / Hamilton Heights,307,Morningside Heights/Hamilton Heights,51.8042,53.5251,49.8916,52.6682,15.8611,19.7268,17.3697,16.8375,2.4352,2.4579,2.1951,2.3277,2.0102,30.9300,28.0006,24.8049,26.6522,27.5849,25.8278,1200,1309,1900,9.2884,10.6113,14.1701,91.118648,9.979948,13.846694640,14.592222040,15.285341070
308,Central Harlem,308,Central Harlem,37.3274,41.5975,41.2004,38.2672,20.7690,14.8535,21.4504,13.4104,2.3177,2.2667,2.0128,2.1437,1.8512,34.0025,33.8457,32.4615,30.0081,31.5738,30.5305,870,990,1450,9.8873,11.9926,13.7623,95.458942,16.025613,13.210542890,11.805740790,11.955618490
309,East Harlem,309,East Harlem,29.3645,28.5358,25.9801,27.8808,24.4645,21.6143,37.5508,18.7628,2.6677,2.5537,2.1346,2.1358,2.1406,38.1172,30.7299,36.5242,31.9867,36.1124,30.1118,900,1350,1375,8.4928,10.2065,11.6228,94.840301,15.404890,14.974060040,13.518270900,12.730351110
310,Washington Heights / Inwood,310,Washington Heights/Inwood,57.7341,59.9649,57.5058,57.5471,27.3017,21.0996,26.4621,21.3211,2.8030,2.8643,2.2401,2.4581,2.2652,40.7504,36.6879,34.0271,33.0697,30.4661,28.1217,0,0,0,0.0000,0.0000,0.0000,94.485051,13.266259,13.536305430,13.253683650,14.152358630
101,Mott Haven / Hunts Point,101,Mott Haven/Hunts Point,29.2272,35.0239,33.5533,28.6766,14.1148,13.9667,30.3185,13.9483,3.1313,2.9980,2.7314,2.6392,2.3866,50.6003,50.8724,46.4150,50.7702,46.1829,45.7046,0,0,1200,7.2477,0.0000,8.6194,96.334390,23.320949,10.999205770,11.675754930,12.334128070
102,Morrisania / East Tremont,102,Morrisania/Belmont,31.1775,28.8216,32.0334,35.9901,21.1814,11.2884,29.9158,16.1778,3.0233,2.9050,2.4712,2.4072,2.5754,50.6547,50.8478,50.1884,47.1548,46.4648,45.3414,500,1000,1000,12.4092,12.3891,15.8613,94.101138,23.226611,10.149317170,10.526460880,10.056712250
103,Highbridge / S. Concourse,103,Highbridge/South Concourse,45.8923,42.5801,46.2349,42.6222,53.0474,46.4781,0.0000,35.3747,2.9367,2.9283,2.7468,2.7665,2.4925,50.5058,50.0526,46.7286,45.3605,41.9275,42.5531,756,1001,950,9.9230,8.0260,10.1745,93.801890,20.727422,9.704102674,10.061617120,10.727202070
104,University Heights / Fordham,104,University Heights/Fordham,41.1505,44.5674,42.5310,46.7328,0.0000,0.0000,0.0000,0.0000,3.1326,3.1007,2.8809,2.6729,2.7357,55.3666,49.6673,51.9112,51.5015,49.7158,48.1308,0,0,0,0.0000,0.0000,0.0000,96.646917,23.431818,9.723328488,10.562623460,10.536658990
105,Kingsbridge Heights / Mosholu,105,Kingsbridge Heights/Moshulu,43.7548,36.1660,40.7911,39.4932,42.6493,30.1385,39.9224,30.4409,2.7123,2.8647,2.5477,2.4756,2.4485,47.3797,49.7625,43.3322,44.6739,43.5668,0.0000,0,0,0,7.9885,0.0000,7.6405,93.987335,17.188436,8.216388860,8.582741513,9.496605741
106,Riverdale / Kingsbridge,106,Riverdale/Kingsbridge,45.6709,44.6903,39.7173,30.9708,16.2588,21.1129,22.2012,20.2927,2.3174,2.3635,2.2420,2.2791,2.0907,32.1480,34.8689,30.1842,29.5047,33.3064,28.9719,990,1200,1200,11.0603,11.1569,12.5625,76.564272,6.869893,13.017756430,12.216938690,13.856275500
107,Soundview / Parkchester,107,Soundview/Parkchester,28.5506,24.6924,26.5976,23.3882,29.7045,20.9816,10.5888,27.6391,2.7985,2.7972,2.6166,2.6911,2.5861,45.5402,41.5977,38.3692,39.7930,39.3716,41.4764,750,925,1000,28.7323,20.6839,21.5669,79.770024,14.518186,12.391498020,12.626737360,12.934480140
108,Throgs Neck / Co-op City,108,Throgs Neck/Co-op City,15.7497,10.3740,14.7336,20.0603,13.0803,15.1873,12.7252,16.8987,2.4395,2.3428,2.1970,2.2584,2.2185,29.3876,30.3849,24.7582,30.6621,27.3588,28.7817,750,1100,1300,15.4206,13.9741,15.1018,60.656988,3.336150,16.123941650,16.626756750,15.425454140
109,Pelham Parkway,109,Pelham Parkway,23.5237,29.3728,24.7366,24.1186,29.4386,29.4178,30.6248,27.4956,2.4288,2.5380,2.7048,2.3933,2.4040,35.7203,34.7126,37.5312,38.8179,34.5646,34.2553,800,900,1000,19.7848,20.4339,23.7205,71.959707,7.339144,10.367133800,11.412163340,12.120255800
110,Williamsbridge / Baychester,110,Williamsbridge/Baychester,18.4977,23.5877,22.7022,21.6622,30.9457,28.4135,19.3925,23.0735,2.7973,2.7772,2.7613,2.5114,2.5903,42.1675,44.0430,42.9576,43.3996,42.3515,39.0177,800,880,1100,35.4925,34.1043,34.3092,63.711729,8.117254,12.592614530,13.613285400,11.617927220
201,Williamsburg / Greenpoint,201,Williamsburg/Greenpoint,33.4476,37.2073,32.2527,29.4794,23.8736,24.9056,20.2440,22.3023,2.8661,2.7677,2.8648,2.6270,2.5382,35.0024,26.0057,24.1960,25.7946,28.1612,26.4241,825,1050,1350,22.3318,21.2282,23.6962,84.399490,8.431087,12.447173880,12.341779710,12.411148430
204,Bushwick,204,Bushwick,42.1296,41.8017,41.6471,43.5219,0.0000,0.0000,0.0000,0.0000,3.3755,3.2021,2.9682,2.9094,2.6594,53.6096,44.9778,42.8246,42.4942,43.7724,43.1017,725,800,950,36.1951,39.9530,41.6790,86.706060,19.968782,9.145593284,9.257836367,8.277912213
203,Bedford Stuyvesant,203,Bedford Stuyvesant,25.4969,33.0332,31.8286,26.4376,10.2830,4.5206,12.2803,10.2708,2.8668,2.7706,2.4799,2.4192,2.4163,45.0378,43.9859,40.5041,35.1063,40.7373,37.2439,650,800,1000,39.8346,37.4580,41.6890,81.539775,17.849689,12.257866320,12.799476170,12.360682810
202,Brooklyn Heights / Fort Greene,202,Brooklyn Heights/Fort Greene,21.8284,25.2830,20.8148,20.8367,13.9009,14.4536,11.8343,11.7736,2.2631,2.1402,2.0232,2.0697,2.0779,24.7407,20.2674,22.7627,25.3517,20.7176,23.1117,1000,1000,1300,25.6087,24.7770,31.1844,75.439646,7.910931,11.661216670,10.521202100,9.586915353
206,Park Slope / Carroll Gardens,206,Park Slope/Carroll Gardens,27.4568,20.9302,25.2514,28.8136,9.0494,11.5697,9.4924,11.3446,2.3078,2.1985,2.2277,2.1379,2.1923,25.0841,24.3868,26.3038,27.7755,25.0075,26.9644,1044,1100,1650,36.9139,40.2799,39.9262,72.270927,4.321379,11.768497980,12.031634750,10.722390140
208,North Crown Heights / Prospect Heights,208,North Crown Heights/Prospect Heights,30.9949,31.7085,37.8797,31.1550,22.1530,18.5802,15.7203,9.1759,2.7350,2.5577,2.5137,2.2621,2.3390,38.2278,39.2001,35.1387,35.1776,28.2440,30.7554,775,980,1350,20.7922,22.3517,24.4613,84.782513,13.093806,11.788374620,10.872380380,10.056466100
216,Brownsville / Ocean Hill,216,Brownsville/Ocean Hill,34.9756,24.5058,24.1471,27.4009,28.7438,29.3755,27.9872,15.1064,3.1721,2.9354,2.6464,2.6385,2.4887,51.6881,44.9404,45.0734,46.3265,47.9300,45.7952,700,875,1000,28.1015,24.6766,29.6223,85.419995,20.480894,11.678311930,11.123947790,9.865704536
205,East New York / Starret City,205,East New York/Starrett City,29.8524,35.3682,31.9722,36.3533,31.2545,48.9429,43.6640,48.6332,3.1869,3.0587,2.8919,2.6473,2.7190,50.2566,44.0665,48.6687,45.5375,44.4836,47.8755,750,895,1000,32.0966,34.5957,31.8561,78.699322,13.888889,10.327998170,11.568131520,11.175043530
218,Flatlands / Canarsie,218,Flatlands/Canarsie,23.3045,23.3567,20.7530,27.5718,19.5369,17.0548,22.2653,21.0562,2.7358,2.9008,2.8540,2.8404,2.6653,43.0152,37.6141,40.5997,39.5797,42.7738,42.5722,850,950,1150,28.9932,27.8584,25.6225,45.743496,4.282995,12.078985870,11.902819720,13.067383560
217,East Flatbush,217,East Flatbush,42.9398,35.0936,48.0102,39.8415,19.2176,0.0000,0.0000,0.0000,3.1457,2.9306,2.8835,2.5500,2.4835,45.0122,41.5324,42.9481,36.7150,39.5128,37.4370,728,850,1000,29.9772,34.1325,31.8212,68.516823,7.388086,11.258624490,11.480904250,11.535624340
209,South Crown Heights,209,South Crown Heights,41.8877,40.9398,48.4430,34.3979,16.7564,24.5956,17.5634,17.3695,2.9479,2.7573,2.6505,2.5733,2.4425,42.1733,41.5303,34.7062,35.4144,32.6861,34.7975,750,800,1000,15.5953,10.4803,18.1170,86.014549,8.676957,11.659557500,12.785270000,12.273761650
207,Sunset Park,207,Sunset Park,43.5098,41.1922,44.5461,42.9115,20.9290,22.1718,22.1774,21.5103,2.9170,3.0466,2.8091,2.7542,2.6653,42.3996,41.7804,40.5431,40.1995,41.5738,36.1406,800,950,1000,43.3780,40.8828,47.3805,72.797105,8.982116,11.440833640,11.496725750,9.395899985
210,Bay Ridge,210,Bay Ridge,45.3520,27.0505,37.2978,26.4688,26.5352,28.6155,27.7496,27.8119,2.2534,2.3363,2.3072,2.3065,2.2137,26.3044,26.1904,27.4862,27.7798,22.3390,30.5117,975,1000,1100,26.0904,27.2383,29.3234,67.027140,3.529319,13.109273400,11.744590580,13.188922230
212,Borough Park,212,Borough Park,39.7225,41.4600,39.5671,42.4976,25.8186,26.8316,28.1519,23.2495,2.9375,3.1324,3.0866,3.0968,3.0984,41.1304,38.3349,41.0839,40.8188,40.4043,42.2071,754,950,1000,37.5390,31.7084,34.5974,69.479115,7.453581,12.873249090,14.082738000,12.568333520
214,Flatbush,214,Flatbush,39.6354,50.4170,48.3835,51.1968,37.5774,30.6050,32.9054,34.6767,2.8093,2.8779,2.8147,2.6647,2.4881,41.7739,33.6445,35.2153,37.4989,33.8825,33.5284,850,900,1120,14.1237,14.5912,10.5967,80.093363,8.160499,11.018072760,12.181668660,10.821647350
215,Sheepshead Bay / Gravesend,215,Sheepshead Bay/Gravesend,48.0020,39.2104,28.9868,37.1993,41.4732,41.7978,43.5435,42.9862,2.4402,2.5848,2.5416,2.3602,2.5150,31.0049,32.9803,26.4330,27.2876,28.1003,28.1178,869,1000,1100,21.1098,20.3991,21.8803,61.053090,5.224864,12.778189630,13.257573200,12.693534160
211,Bensonhurst,211,Bensonhurst,42.9224,46.5580,47.9288,47.1764,43.3387,40.1784,39.0725,43.9478,2.5082,2.6448,2.5957,2.5853,2.6744,31.9359,33.0096,31.9343,30.3531,32.6236,28.9767,750,925,1000,38.9458,38.1623,37.0752,69.137138,6.044883,12.845607410,11.960019210,11.784622730
213,Coney Island,213,Coney Island,39.9947,33.7140,33.4522,35.7211,60.3644,59.6448,59.1122,56.8873,2.3927,2.4314,2.2042,2.1781,2.1145,29.2787,23.4374,21.8258,22.9634,22.5731,22.0525,750,900,1000,11.5285,15.7978,16.3332,81.220779,9.121694,11.864031670,11.544200490,14.061285750
